"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","QGDP","TOT","PC_CHGPP","Q","2004-Q4",0.348659208,
"GBR","QGDP","TOT","PC_CHGPP","Q","2005-Q1",0.607756489,
"GBR","QGDP","TOT","PC_CHGPP","Q","2005-Q2",0.963318523,
"GBR","QGDP","TOT","PC_CHGPP","Q","2005-Q3",0.882092924,
"GBR","QGDP","TOT","PC_CHGPP","Q","2005-Q4",1.092055496,
"GBR","QGDP","TOT","PC_CHGPP","Q","2006-Q1",0.52996235,
"GBR","QGDP","TOT","PC_CHGPP","Q","2006-Q2",0.345980978,
"GBR","QGDP","TOT","PC_CHGPP","Q","2006-Q3",0.232546297,
"GBR","QGDP","TOT","PC_CHGPP","Q","2006-Q4",0.638018628,
"GBR","QGDP","TOT","PC_CHGPP","Q","2007-Q1",0.783737963,
"GBR","QGDP","TOT","PC_CHGPP","Q","2007-Q2",0.463747548,
"GBR","QGDP","TOT","PC_CHGPP","Q","2007-Q3",0.682438581,
"GBR","QGDP","TOT","PC_CHGPP","Q","2007-Q4",0.385228837,
"GBR","QGDP","TOT","PC_CHGPP","Q","2008-Q1",0.603271437,
"GBR","QGDP","TOT","PC_CHGPP","Q","2008-Q2",-0.45050659,
"GBR","QGDP","TOT","PC_CHGPP","Q","2008-Q3",-1.490218453,
"GBR","QGDP","TOT","PC_CHGPP","Q","2008-Q4",-2.005279354,
"GBR","QGDP","TOT","PC_CHGPP","Q","2009-Q1",-1.802244248,
"GBR","QGDP","TOT","PC_CHGPP","Q","2009-Q2",-0.313933676,
"GBR","QGDP","TOT","PC_CHGPP","Q","2009-Q3",0.063201652,
"GBR","QGDP","TOT","PC_CHGPP","Q","2009-Q4",0.3103824,
"GBR","QGDP","TOT","PC_CHGPP","Q","2010-Q1",0.698471499,
"GBR","QGDP","TOT","PC_CHGPP","Q","2010-Q2",1.133482316,
"GBR","QGDP","TOT","PC_CHGPP","Q","2010-Q3",0.700938054,
"GBR","QGDP","TOT","PC_CHGPP","Q","2010-Q4",0.120686818,
"GBR","QGDP","TOT","PC_CHGPP","Q","2011-Q1",0.46235612,
"GBR","QGDP","TOT","PC_CHGPP","Q","2011-Q2",0.101107568,
"GBR","QGDP","TOT","PC_CHGPP","Q","2011-Q3",0.319361612,
"GBR","QGDP","TOT","PC_CHGPP","Q","2011-Q4",0.127212644,
"GBR","QGDP","TOT","PC_CHGPP","Q","2012-Q1",0.677605433,
"GBR","QGDP","TOT","PC_CHGPP","Q","2012-Q2",-0.05884998,
"GBR","QGDP","TOT","PC_CHGPP","Q","2012-Q3",1.224551575,
"GBR","QGDP","TOT","PC_CHGPP","Q","2012-Q4",-0.246822544,
"GBR","QGDP","TOT","PC_CHGPP","Q","2013-Q1",0.459137577,
"GBR","QGDP","TOT","PC_CHGPP","Q","2013-Q2",0.657147062,
"GBR","QGDP","TOT","PC_CHGPP","Q","2013-Q3",0.767182928,
"GBR","QGDP","TOT","PC_CHGPP","Q","2013-Q4",0.525966842,
"GBR","QGDP","TOT","PC_CHGPP","Q","2014-Q1",0.932765882,
"GBR","QGDP","TOT","PC_CHGPP","Q","2014-Q2",0.806169711,
"GBR","QGDP","TOT","PC_CHGPP","Q","2014-Q3",0.677173328,
"GBR","QGDP","TOT","PC_CHGPP","Q","2014-Q4",0.560482829,
"GBR","QGDP","TOT","PC_CHGPP","Q","2015-Q1",0.644738174,
"GBR","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.738449044,
"GBR","QGDP","TOT","PC_CHGPP","Q","2015-Q3",0.537252584,
"GBR","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.679861698,
"GBR","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.441647198,
"GBR","QGDP","TOT","PC_CHGPP","Q","2016-Q2",0.577337338,
"GBR","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.445252857,
"GBR","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.73929692,
"GBR","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.649836103,
"GBR","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.310747896,
"GBR","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.428297394,
"GBR","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.402869485,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.236706446,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.54664776,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.631727016,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.335440843,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.641957711,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.13273242,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.45897235,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.044750089,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.637367304,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-19.449477922,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",17.57247971,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.50247662,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-1.263182972,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",5.431991437,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.061229086,
"USA","QGDP","TOT","PC_CHGPP","Q","2004-Q4",1.022027369,
"USA","QGDP","TOT","PC_CHGPP","Q","2005-Q1",1.110882508,
"USA","QGDP","TOT","PC_CHGPP","Q","2005-Q2",0.486604478,
"USA","QGDP","TOT","PC_CHGPP","Q","2005-Q3",0.78562198,
"USA","QGDP","TOT","PC_CHGPP","Q","2005-Q4",0.567928238,
