"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","QGDP","VOLIDX","IDX","Q","1999-Q2",81.2,
"DEU","QGDP","VOLIDX","IDX","Q","1999-Q3",82.2,
"DEU","QGDP","VOLIDX","IDX","Q","1999-Q4",82.8,
"DEU","QGDP","VOLIDX","IDX","Q","2000-Q1",84,
"DEU","QGDP","VOLIDX","IDX","Q","2000-Q2",84.7,
"DEU","QGDP","VOLIDX","IDX","Q","2000-Q3",84.7,
"DEU","QGDP","VOLIDX","IDX","Q","2000-Q4",84.4,
"DEU","QGDP","VOLIDX","IDX","Q","2001-Q1",86.1,
"DEU","QGDP","VOLIDX","IDX","Q","2001-Q2",86.1,
"DEU","QGDP","VOLIDX","IDX","Q","2001-Q3",85.9,
"DEU","QGDP","VOLIDX","IDX","Q","2001-Q4",85.8,
"DEU","QGDP","VOLIDX","IDX","Q","2002-Q1",85.4,
"DEU","QGDP","VOLIDX","IDX","Q","2002-Q2",85.7,
"DEU","QGDP","VOLIDX","IDX","Q","2002-Q3",86.2,
"DEU","QGDP","VOLIDX","IDX","Q","2002-Q4",86.1,
"DEU","QGDP","VOLIDX","IDX","Q","2003-Q1",84.8,
"DEU","QGDP","VOLIDX","IDX","Q","2003-Q2",84.9,
"DEU","QGDP","VOLIDX","IDX","Q","2003-Q3",85.5,
"DEU","QGDP","VOLIDX","IDX","Q","2003-Q4",85.7,
"DEU","QGDP","VOLIDX","IDX","Q","2004-Q1",85.6,
"DEU","QGDP","VOLIDX","IDX","Q","2004-Q2",86,
"DEU","QGDP","VOLIDX","IDX","Q","2004-Q3",85.9,
"DEU","QGDP","VOLIDX","IDX","Q","2004-Q4",85.8,
"DEU","QGDP","VOLIDX","IDX","Q","2005-Q1",85.8,
"DEU","QGDP","VOLIDX","IDX","Q","2005-Q2",86.2,
"DEU","QGDP","VOLIDX","IDX","Q","2005-Q3",87,
"DEU","QGDP","VOLIDX","IDX","Q","2005-Q4",87.4,
"DEU","QGDP","VOLIDX","IDX","Q","2006-Q1",88.2,
"DEU","QGDP","VOLIDX","IDX","Q","2006-Q2",89.7,
"DEU","QGDP","VOLIDX","IDX","Q","2006-Q3",90.4,
"DEU","QGDP","VOLIDX","IDX","Q","2006-Q4",91.8,
"DEU","QGDP","VOLIDX","IDX","Q","2007-Q1",91.9,
"DEU","QGDP","VOLIDX","IDX","Q","2007-Q2",92.6,
"DEU","QGDP","VOLIDX","IDX","Q","2007-Q3",93.1,
"DEU","QGDP","VOLIDX","IDX","Q","2007-Q4",93.7,
"DEU","QGDP","VOLIDX","IDX","Q","2008-Q1",94.3,
"DEU","QGDP","VOLIDX","IDX","Q","2008-Q2",94.1,
"DEU","QGDP","VOLIDX","IDX","Q","2008-Q3",93.5,
"DEU","QGDP","VOLIDX","IDX","Q","2008-Q4",92,
"DEU","QGDP","VOLIDX","IDX","Q","2009-Q1",87.7,
"DEU","QGDP","VOLIDX","IDX","Q","2009-Q2",87.8,
"DEU","QGDP","VOLIDX","IDX","Q","2009-Q3",88.3,
"DEU","QGDP","VOLIDX","IDX","Q","2009-Q4",89,
"DEU","QGDP","VOLIDX","IDX","Q","2010-Q1",89.7,
"DEU","QGDP","VOLIDX","IDX","Q","2010-Q2",91.7,
"DEU","QGDP","VOLIDX","IDX","Q","2010-Q3",92.5,
"DEU","QGDP","VOLIDX","IDX","Q","2010-Q4",93.2,
"DEU","QGDP","VOLIDX","IDX","Q","2011-Q1",95,
