"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","QGDP","VOLIDX","IDX","Q","2000-Q1",82.9,
"FRA","QGDP","VOLIDX","IDX","Q","2000-Q2",83.7,
"FRA","QGDP","VOLIDX","IDX","Q","2000-Q3",84.2,
"FRA","QGDP","VOLIDX","IDX","Q","2000-Q4",84.9,
"FRA","QGDP","VOLIDX","IDX","Q","2001-Q1",85.4,
"FRA","QGDP","VOLIDX","IDX","Q","2001-Q2",85.5,
"FRA","QGDP","VOLIDX","IDX","Q","2001-Q3",85.8,
"FRA","QGDP","VOLIDX","IDX","Q","2001-Q4",85.8,
"FRA","QGDP","VOLIDX","IDX","Q","2002-Q1",86.1,
"FRA","QGDP","VOLIDX","IDX","Q","2002-Q2",86.5,
"FRA","QGDP","VOLIDX","IDX","Q","2002-Q3",86.9,
"FRA","QGDP","VOLIDX","IDX","Q","2002-Q4",86.8,
"FRA","QGDP","VOLIDX","IDX","Q","2003-Q1",87,
"FRA","QGDP","VOLIDX","IDX","Q","2003-Q2",86.8,
"FRA","QGDP","VOLIDX","IDX","Q","2003-Q3",87.4,
"FRA","QGDP","VOLIDX","IDX","Q","2003-Q4",88,
"FRA","QGDP","VOLIDX","IDX","Q","2004-Q1",88.9,
"FRA","QGDP","VOLIDX","IDX","Q","2004-Q2",89.4,
"FRA","QGDP","VOLIDX","IDX","Q","2004-Q3",89.7,
"FRA","QGDP","VOLIDX","IDX","Q","2004-Q4",90.3,
"FRA","QGDP","VOLIDX","IDX","Q","2005-Q1",90.6,
"FRA","QGDP","VOLIDX","IDX","Q","2005-Q2",90.8,
"FRA","QGDP","VOLIDX","IDX","Q","2005-Q3",91.2,
"FRA","QGDP","VOLIDX","IDX","Q","2005-Q4",91.9,
"FRA","QGDP","VOLIDX","IDX","Q","2006-Q1",92.6,
"FRA","QGDP","VOLIDX","IDX","Q","2006-Q2",93.5,
"FRA","QGDP","VOLIDX","IDX","Q","2006-Q3",93.6,
"FRA","QGDP","VOLIDX","IDX","Q","2006-Q4",94.3,
"FRA","QGDP","VOLIDX","IDX","Q","2007-Q1",95,
"FRA","QGDP","VOLIDX","IDX","Q","2007-Q2",95.7,
"FRA","QGDP","VOLIDX","IDX","Q","2007-Q3",96.1,
"FRA","QGDP","VOLIDX","IDX","Q","2007-Q4",96.3,
